电视频道,#genre#
江苏卫视,http://192.168.10.1:4022/rtp/239.20.0.170:2138$高清
江苏卫视,http://192.168.10.1:4022/rtp/239.20.0.93:3028$超清
江苏卫视,http://192.168.10.1:4022/rtp/239.20.0.107:2012$标清
东方卫视,http://192.168.10.1:4022/rtp/239.20.0.173:2144$高清
东方卫视,http://192.168.10.1:4022/rtp/239.20.0.108:2014$标清
江西卫视,http://192.168.10.1:4022/rtp/239.20.0.55:3180$高清
江西卫视,http://192.168.10.1:4022/rtp/239.20.0.138:2074$标清
河南卫视,http://192.168.10.1:4022/rtp/239.21.0.104:3756$高清
河南卫视,http://192.168.10.1:4022/rtp/239.20.0.144:2086$标清
云南卫视,http://192.168.10.1:4022/rtp/239.21.0.133:3876$高清
云南卫视,http://192.168.10.1:4022/rtp/239.20.0.145:2088$标清
陕西卫视,http://192.168.10.1:4022/rtp/239.20.0.151:2100$标清
山西卫视,http://192.168.10.1:4022/rtp/239.20.0.152:2102$标清
内蒙古卫视,http://192.168.10.1:4022/rtp/239.20.0.153:2104$标清
青海卫视,http://192.168.10.1:4022/rtp/239.20.0.154:2106$标清
海南卫视,http://192.168.10.1:4022/rtp/239.21.0.134:3880$高清
海南卫视,http://192.168.10.1:4022/rtp/239.20.0.155:2108$标清
宁夏卫视,http://192.168.10.1:4022/rtp/239.20.0.156:2110$标清
三沙卫视,http://192.168.10.1:4022/rtp/239.20.0.52:3192$标清
新疆卫视,http://192.168.10.1:4022/rtp/239.20.0.158:2114$标清
甘肃卫视,http://192.168.10.1:4022/rtp/239.20.0.159:2116$标清
广东少儿,http://192.168.10.1:4022/rtp/239.21.0.87:3688$高清
广东少儿,http://192.168.10.1:4022/rtp/239.20.0.118:2034$标清
海南少儿,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000323/1.m3u8$高清
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?$高清
兵团卫视,http://192.168.10.1:4022/rtp/239.20.0.160:2118$标清
延边卫视,http://192.168.10.1:4022/rtp/239.20.0.54:3184$高清
延边卫视,http://192.168.10.1:4022/rtp/239.20.0.51:3216$标清
大湾区卫视,http://192.168.10.1:4022/rtp/239.21.0.84:3676$高清
大湾区卫视,http://192.168.10.1:4022/rtp/239.20.0.125:2048$标清
厦门卫视,http://192.168.10.1:4022/rtp/239.20.0.168:2134$标清
西藏卫视,http://192.168.10.1:4022/rtp/239.20.0.157:2112$标清
黑龙江卫视,http://192.168.10.1:4022/rtp/239.20.0.91:3036$超清
黑龙江卫视,http://192.168.10.1:4022/rtp/239.20.0.123:2044$高清
辽宁卫视,http://192.168.10.1:4022/rtp/239.20.0.175:2148$高清
辽宁卫视,http://192.168.10.1:4022/rtp/239.20.0.86:3056$超清
湖北卫视,http://192.168.10.1:4022/rtp/239.20.0.90:3040$超清
湖北卫视,http://192.168.10.1:4022/rtp/239.20.0.124:2046$高清
天津卫视,http://192.168.10.1:4022/rtp/239.20.0.89:3044$超清
天津卫视,http://192.168.10.1:4022/rtp/239.20.0.171:2140$高清
四川卫视,http://192.168.10.1:4022/rtp/239.20.0.82:3072$超清
四川卫视,http://192.168.10.1:4022/rtp/239.20.0.194:2186$高清
CETV早期教育,http://192.168.10.1:4022/rtp/239.21.0.106:3764$高清
山东卫视,http://192.168.10.1:4022/rtp/239.20.0.172:2142$高清
山东卫视,http://192.168.10.1:4022/rtp/239.20.0.88:3048$超清
重庆卫视,http://192.168.10.1:4022/rtp/239.20.0.195:2188$高清
贵州卫视,http://192.168.10.1:4022/rtp/239.20.0.212:2222$高清
东南卫视,http://192.168.10.1:4022/rtp/239.20.0.58:3168$高清
广西卫视,http://192.168.10.1:4022/rtp/239.20.0.15:3344$高清
山东教育卫视,http://192.168.10.1:4022/rtp/239.20.0.166:2130$标清
河北卫视,http://192.168.10.1:4022/rtp/239.20.0.56:3176$高清
广东卫视,http://192.168.10.1:4022/rtp/239.20.0.99:3004$超清
广东卫视,http://192.168.10.1:4022/rtp/239.20.0.101:2000$高清
广东卫视,http://192.168.10.1:4022/rtp/239.20.0.131:2060$标清
深圳卫视,http://192.168.10.1:4022/rtp/239.20.0.122:2042$高清
深圳卫视,http://192.168.10.1:4022/rtp/239.20.0.92:3032$超清
深圳卫视,http://192.168.10.1:4022/rtp/239.20.0.134:2066$标清
广东珠江,http://192.168.10.1:4022/rtp/239.20.0.63:3148$超清
广东珠江,http://192.168.10.1:4022/rtp/239.20.0.64:3144$高清
广东珠江,http://192.168.10.1:4022/rtp/239.20.0.111:2020$标清
广东新闻,http://192.168.10.1:4022/rtp/239.21.0.93:3712$高清
广东新闻,http://192.168.10.1:4022/rtp/239.20.0.112:2022$标清
广东体育,http://192.168.10.1:4022/rtp/239.20.0.97:3012$超清
广东体育,http://192.168.10.1:4022/rtp/239.20.0.103:2004$高清
